#,NAME,Gl(deg),Gb(deg),P0(s),P1,F0(Hz),DM(cm^-3pc),BINARY (type),Binary Period (days),Semi-major axis,BINCOMP,DIST(kpc),DIST_DM(kpc),AGE(Yr),EDOT(ergs/),PMTOT(mas/yr)
1483,J1758-2846,1.556,-2.294,0.766706,9.41E-17,1.30428,66.6,*,*,*,*,1.71,1.71,129000000,8240000000000000000000000000000,*
1990,J1857-1027,24.275,-6.063,3.687219,1.05E-14,0.271207,108.9,*,*,*,*,3.64,3.64,5540000,8310000000000000000000000000000,*
1136,J1701-4958,337.835,-4.841,0.804304,1.1E-16,1.243311,230,*,*,*,*,9.68,9.68,116000000,8350000000000000000000000000000,*
69,B0138+59,129.147,-2.105,1.222949,3.91E-16,0.817696,34.93,*,*,*,*,2.3,2.61,49500000,8440000000000000000000000000000,*
2392,J2033-1938,25.313,-31.049,1.281719,4.55E-16,0.780202,23.47,*,*,*,*,1.54,1.54,44600000,8530000000000000000000000000000,*
918,B1607-13,359.427,26.949,1.018393,2.3E-16,0.981939,49.13,*,*,*,*,3.89,3.89,70200000,8590000000000000000000000000000,*
2459,J2155+2813,82.131,-20.37,1.60902,9.16E-16,0.621496,77.4,*,*,*,*,5.06,5.06,27800000,8680000000000000000000000000000,*
731,J1441-6137,315.646,-1.505,1.17584,3.6E-16,0.850456,166,*,*,*,*,4.44,4.44,51800000,8740000000000000000000000000000,*
2102,J1909+1450,48.181,2.827,0.996108,2.19E-16,1.003907,119.5,*,*,*,*,4.94,4.94,72100000,8750000000000000000000000000000,*
1682,J1824-1350,17.614,-0.515,1.396599,6.07E-16,0.716025,551,*,*,*,*,7.06,7.06,36500000,8800000000000000000000000000000,*
242,J0711+0931,206.674,8.776,1.21409,4E-16,0.823662,45,*,*,*,*,2.39,2.39,48100000,8820000000000000000000000000000,*
509,J1152-5800,295.126,3.961,1.789829,1.28E-15,0.558712,191,*,*,*,*,7.87,7.87,22100000,8820000000000000000000000000000,*
359,B0950-38,268.702,12.033,1.373815,5.8E-16,0.7279,167,*,*,*,*,8.44,8.44,37500000,8830000000000000000000000000000,*
708,J1424-6438,312.741,-3.561,1.023504,2.4E-16,0.977036,248,*,*,*,*,8.31,8.31,67600000,8840000000000000000000000000000,*
2136,B1911+09,44.034,-0.553,1.241965,4.32E-16,0.805176,157,*,*,*,*,4.22,4.22,45600000,8900000000000000000000000000000,*
767,J1512-5431,322.486,2.92,2.040532,1.92E-15,0.490068,219,*,*,*,*,6.61,6.61,16800000,8920000000000000000000000000000,*
1031,J1638-3815,344.264,5.764,0.698261,7.7E-17,1.43213,238,*,*,*,*,17.54,17.54,144000000,8930000000000000000000000000000,*
1315,J1738-3316,355.525,-1.003,0.730373,8.86E-17,1.369164,273,*,*,*,*,4.55,4.55,131000000,8970000000000000000000000000000,*
2394,B2034+19,63.177,-12.672,2.074377,2.04E-15,0.482072,36,*,*,*,*,2.05,2.05,16100000,9020000000000000000000000000000,*
