#,NAME,Gl(deg),Gb(deg),P0(s),P1,F0(Hz),DM(cm^-3pc),BINARY (type),Binary Period (days),Semi-major axis,BINCOMP,DIST(kpc),DIST_DM(kpc),AGE(Yr),EDOT(ergs/),PMTOT(mas/yr)
1415,J1748-2446U,3.839,1.687,0.003289,*,304.030841,235.5,BT,3.5703,5.9725,*,5.5,4.36,*,*,*1415,J1748-2446U,3.839,1.687,0.003289,*,304.030841,235.5,BT,3.5703,5.9725,*,5.5,4.36,*,*,*
1416,J1748-2446V,3.839,1.687,0.002073,*,482.506719,239.11,BT,0.5036,0.567,He,5.5,4.42,*,*,*
1417,J1748-2446W,3.839,1.687,0.004205,*,237.801949,239.14,BT,4.877,5.869,He,5.5,4.42,*,*,*
1418,J1748-2446X,3.839,1.687,0.002999,*,333.415576,240.03,BT,4.9985,5.1071,*,5.5,4.43,*,*,*1418,J1748-2446X,3.839,1.687,0.002999,*,333.415576,240.03,BT,4.9985,5.1071,*,5.5,4.43,*,*,*
1419,J1748-2446Y,3.839,1.687,0.002048,*,488.243106,239.11,BT,1.17,1.1785,He,5.5,4.42,*,*,*
1420,J1748-2446Z,3.839,1.687,0.002463,*,406.076529,238.85,BT,3.4881,3.5304,*,5.5,4.41,*,*,*1420,J1748-2446Z,3.839,1.687,0.002463,*,406.076529,238.85,BT,3.4881,3.5304,*,5.5,4.41,*,*,*
1422,J1748-3009,359.272,-1.147,0.009684,*,103.260203,420.2,BT,2.9338,1.3201,He,5.96,5.96,*,*,*
1431,J1750-2536,3.413,0.778,0.034749,*,28.777763,178.4,BT,17.1416,20.061,CO,3.51,3.51,*,*,*
1435,J1750-3703A,353.532,-5.009,0.111601,5.66E-18,8.960506,233.82,BT,17.3343,24.3931,*,13.8,9.96,312000000,161000000000000000000000000000000,*1435,J1750-3703A,353.532,-5.009,0.111601,5.66E-18,8.960506,233.82,BT,17.3343,24.3931,*,13.8,9.96,312000000,161000000000000000000000000000000,*
1436,J1750-3703B,353.526,-5.006,0.006075,1.92E-20,164.621462,234.39,BT,3.6051,2.8659,*,13.8,10.02,5020000000,3380000000000000000000000000000000,*1436,J1750-3703B,353.526,-5.006,0.006075,1.92E-20,164.621462,234.39,BT,3.6051,2.8659,*,13.8,10.02,5020000000,3380000000000000000000000000000000,*
1440,J1751-2857,0.646,-1.124,0.003915,1.13E-20,255.436115,42.81,BT,110.7465,32.5282,He,1.44,1.44,5510000000,7410000000000000000000000000000000,*
1449,J1753-2240,6.299,1.663,0.095138,9.7E-19,10.511068,158.6,BT,13.6376,18.1154,NS(?),3.46,3.46,1550000000,44500000000000000000000000000000,*
1503,J1801-0857B,19.225,6.762,0.028962,2.19E-18,34.528494,182.39,BT,59.8365,33.8755,*,7.2,10.42,209000000,3560000000000000000000000000000000,*1503,J1801-0857B,19.225,6.762,0.028962,2.19E-18,34.528494,182.39,BT,59.8365,33.8755,*,7.2,10.42,209000000,3560000000000000000000000000000000,*
1528,B1800-27,3.494,-2.532,0.334415,1.71E-17,2.990293,165.5,BT,406.781,58.94,He,3.62,3.62,310000000,18100000000000000000000000000000,*
1533,B1802-07,20.792,6.773,0.023101,4.67E-19,43.288441,186.32,BT,2.6168,3.9205,*,7.8,11.59,784000000,1500000000000000000000000000000000,*1533,B1802-07,20.792,6.773,0.023101,4.67E-19,43.288441,186.32,BT,2.6168,3.9205,*,7.8,11.59,784000000,1500000000000000000000000000000000,*
1535,J1804-2717,3.505,-2.736,0.009343,4.09E-20,107.031651,24.67,BT,11.1287,7.2815,He,1.17,1.17,3620000000,1980000000000000000000000000000000,*
1552,J1807-2459A,5.837,-2.203,0.003059,-4.34E-21,326.856263,134,BT,0.0711,0.0122,UL,2.79,3.27,*,*,*
1576,J1810+1744,44.642,16.806,0.00166,*,602.409639,39.7,BT,0.15,0.095,UL,2.49,2.49,*,*,*
1584,J1811-1736,12.821,0.435,0.104182,9.01E-19,9.598591,476,BT,18.7792,34.7827,NS,5.93,5.93,1830000000,31500000000000000000000000000000,*
1656,J1822-0848,21.828,2.262,2.504518,4.03E-16,0.399278,186.3,BT,286.8303,97.7279,He,4.19,4.19,98400000,1010000000000000000000000000000,*
1667,B1820-11,19.767,0.946,0.279829,1.38E-15,3.573615,428.59,BT,357.762,200.672,MS(?),6.28,6.28,3220000,2480000000000000000000000000000000,*
1690,J1824-2452C,7.798,-5.58,0.004159,*,240.442414,120.7,BT,8.078,7.356,*,5.5,3.64,*,*,*1690,J1824-2452C,7.798,-5.58,0.004159,*,240.442414,120.7,BT,8.078,7.356,*,5.5,3.64,*,*,*
1691,J1824-2452D,7.798,-5.58,0.079832,*,12.526305,119.5,BT,30.404,24.877,*,5.5,3.61,*,*,*1691,J1824-2452D,7.798,-5.58,0.079832,*,12.526305,119.5,BT,30.404,24.877,*,5.5,3.61,*,*,*
1694,J1824-2452G,7.798,-5.58,0.005909,*,169.233373,119.4,BT,0.1046,0.0165,UL,5.5,3.61,*,*,*
1695,J1824-2452H,7.798,-5.58,0.004629,*,216.02938,121.5,BT,0.435,0.7195,*,5.5,3.66,*,*,*1695,J1824-2452H,7.798,-5.58,0.004629,*,216.02938,121.5,BT,0.435,0.7195,*,5.5,3.66,*,*,*
1696,J1824-2452I,7.798,-5.579,0.003932,0,254.333031,119,BT,0.4594,0.7659,He,5.5,3.6,*,*,*
1697,J1824-2452J,7.798,-5.58,0.004039,*,247.586036,119.2,BT,0.0974,0.025,UL,5.5,3.61,*,*,*
1698,J1824-2452K,7.798,-5.58,0.004461,*,224.164985,119.8,BT,3.9103,2.605,*,5.5,3.62,*,*,*1698,J1824-2452K,7.798,-5.58,0.004461,*,224.164985,119.8,BT,3.9103,2.605,*,5.5,3.62,*,*,*
1699,J1824-2452L,7.798,-5.58,0.0041,*,243.902439,119,BT,0.2257,0.057,UL,5.5,3.6,*,*,*
1702,J1825-0319,27.045,4.138,0.004554,6.8E-21,219.609941,119.5,BT,52.6305,18.2664,He,3.26,3.26,10600000000,2840000000000000000000000000000000,*
1717,J1828+0625,36.065,8.016,0.00363,*,275.482094,22.4,BT,6,*,*,1.18,1.18,*,*,*1717,J1828+0625,36.065,8.016,0.00363,*,275.482094,22.4,BT,6,*,*,1.18,1.18,*,*,*
1728,J1829+2456,53.343,15.612,0.04101,5.25E-20,24.384401,13.8,BT,1.176,7.238,NS,0.74,0.74,12400000000,30100000000000000000000000000000,*
1770,J1835-0114,29.99,3.007,0.005116,7E-21,195.450398,98,BT,6.6925,4.6544,He,2.67,2.67,11600000000,2060000000000000000000000000000000,*
1788,J1836-2354A,9.886,-7.561,0.003354,2.32E-21,298.121588,89.11,BT,0.2028,0.0464,UL,3.2,3.09,22900000000,2420000000000000000000000000000000,*
